Anime_score,Popularity_among_viewers,Viewers,Japanese,Type,Eps,Status,English_Title,Sources,Demographic,Rating,Genre,Producer
8.0399999999999991,747,321,Fate/stay night [Unlimited Blade Works] プロローグ,TV Special,1,Finished Airing,Fate/stay night: Unlimited Blade Works - Prologue,Visual novel,,PG-13 - Teens 13 or older,Action, Adventure, Fantasy,ufotable
8.0399999999999991,405,543,月がきれい,TV,12,Finished Airing,Tsukigakirei,Original,,,,
8.0399999999999991,4698,21,伍六七之暗影宿命,ONA,10,Finished Airing,Scissor Seven: Shadow Fate,Original,,R - 17+ (violence & profanity),Action, Adventure, Comedy, Drama,Sharefun Studio, AHA Entertainment
8.0299999999999994,208,854,暁のヨナ,TV,24,Finished Airing,Yona of the Dawn,,,,Action, Adventure, Fantasy, Romance,
8.0299999999999994,650,362,あずまんが大王 THE ANIMATION,TV,26,Finished Airing,Azumanga Daioh: The Animation,,,PG-13 - Teens 13 or older,,Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records
8.0299999999999994,4238,27,銀牙 流れ星銀,TV,21,Finished Airing,Silver Fang,,Shounen(Boys),,Action, Adventure, Drama,TV Asahi
8.0199999999999996,804,300,BLACK LAGOON Roberta's Blood Trail,OVA,5,Finished Airing,Black Lagoon: Roberta's Blood Trail,,Seinen(Male Youth/Adult),,Action,Shogakukan-Shueisha Productions, NBCUniversal Entertainment Japan
8.0199999999999996,4293,26,羅小黑戰記,Movie,1,Finished Airing,The Legend of Hei,Original,,G - All Ages,Adventure, Drama, Fantasy,
8.0199999999999996,4845,20,おまえうまそうだな,Movie,1,Finished Airing,Heart and Yummie,,,G - All Ages,Action, Adventure, Fantasy,Ajia-do
8.0099999999999998,164,947,君に届け,TV,25,Finished Airing,Kimi ni Todoke: From Me to You,,,,Drama, Romance,VAP, Nippon Television Network, Shueisha
8.0099999999999998,2201,90,ベイビーステップ 第2シリーズ,TV,25,Finished Airing,Baby Steps Saison 2,,,,,NHK
8.0099999999999998,26,2,My Hero Academia Season 3,TV,25,Finished Airing,My Hero Academia 3. Staffel,,,,Action,Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha
8.0099999999999998,289,692,ディー・グレイマン,TV,103,Finished Airing,D.Gray-man,,Shounen(Boys),,Action, Adventure, Fantasy,TV Tokyo, Aniplex, Dentsu, Half H.P Studio, Sony Music Entertainment, Studio Jack
8.0099999999999998,596,389,とある科学の超電磁砲S,TV,24,Finished Airing,A Certain Scientific Railgun S,,,,Action, Fantasy,
8,1125,215,ゾンビランドサガ リベンジ,TV,12,Finished Airing,Zombie Land Saga Revenge,Original,,,,
8,1863,116,劇場版 空の境界 未来福音,Movie,1,Finished Airing,The Garden of Sinners: Future Gospel,Light novel,,R - 17+ (violence & profanity),Adventure, Drama,ufotable
8,8,2,ナルト,TV,220,Finished Airing,Naruto,,Shounen(Boys),,Action, Adventure, Fantasy,TV Tokyo, Aniplex, Shueisha
